frame,class,conf,xmin,ymin,xmax,ymax
3,IFR suit,0.25,109,80,438,480
13,IFR suit,0.29,109,78,437,480
16,IFR suit,0.25,115,80,435,480
17,IFR suit,0.28,110,78,439,479
19,IFR suit,0.25,113,76,435,479
20,IFR suit,0.28,108,78,438,479
21,IFR suit,0.27,112,78,438,479
22,IFR suit,0.29,113,76,431,478
23,IFR suit,0.33,99,67,443,476
26,IFR suit,0.3,184,122,493,479
27,IFR suit,0.29,191,129,494,478
28,IFR suit,0.26,171,113,500,478
35,Helmet,0.27,509,0,640,93
36,Helmet,0.27,509,0,640,93
491,Helmet,0.34,196,0,491,175
573,Helmet,0.36,537,0,640,102
574,Helmet,0.36,537,0,640,102
717,Helmet,0.26,495,0,639,138
718,Helmet,0.26,495,0,639,138
732,IFR suit,0.28,55,88,476,478
733,IFR suit,0.28,55,88,476,478
734,IFR suit,0.27,109,125,440,478
735,IFR suit,0.27,109,125,440,478
756,IFR suit,0.29,107,117,431,478
759,People,0.27,147,47,426,478
761,IFR suit,0.27,97,83,444,479
762,IFR suit,0.29,86,76,447,479
787,People,0.26,117,45,402,480
787,IFR suit,0.26,89,87,421,480
799,People,0.25,115,39,393,479
800,People,0.25,113,43,396,480
801,People,0.25,113,43,396,480
802,People,0.25,112,34,395,480
804,IFR suit,0.27,72,88,419,480
807,People,0.27,113,26,399,480
809,People,0.25,111,29,400,480
813,People,0.26,111,34,396,480
815,People,0.27,112,45,397,480
816,People,0.27,112,41,396,480
816,IFR suit,0.25,82,90,418,480
817,People,0.27,110,48,396,480
817,IFR suit,0.25,72,96,412,479
818,People,0.25,110,45,400,480
819,People,0.25,111,40,396,479
847,IFR suit,0.29,104,96,442,478
906,No IFR,0.27,105,192,402,479
910,No IFR,0.27,69,160,372,479
973,Helmet,0.31,0,1,123,139
974,Helmet,0.31,0,1,123,139
1011,No IFR,0.3,132,171,432,479
1079,People,0.26,104,71,404,477
1080,People,0.31,106,66,402,478
1081,People,0.31,106,66,402,478
1082,People,0.34,107,62,398,478
1089,No IFR,0.26,87,145,399,478
1090,No IFR,0.26,88,145,397,478
1095,No IFR,0.25,98,168,387,479
1159,No IFR,0.28,64,154,350,478
1302,Helmet,0.32,76,147,354,360
1303,Helmet,0.3,75,147,354,359
1304,Helmet,0.3,75,147,354,359
1305,Helmet,0.27,75,147,353,359
1306,Helmet,0.27,76,147,354,358
1307,Helmet,0.27,74,147,358,360
1309,Helmet,0.28,77,146,357,360
1310,Helmet,0.28,72,146,356,359
